id,name,year,artist_id,category_id
0,Phyllis,1817,1954,51
1,Tina,1393,1277,115
2,Valerie,1390,328,25
3,Kayla,1743,302,119
4,Kyle,1799,1672,34
5,Gregory,1486,582,27
6,Jeffrey,1628,4336,63
7,Stephen,1753,3985,67
8,Michael,1289,2693,101
9,Shawn,1053,4887,100
10,Kimberly,1075,1283,22
11,Sean,1157,1050,65
12,Amber,1157,3573,10
13,Danny,1639,2308,121
14,Luis,1366,3690,2
15,Yvette,1001,3374,40
16,Greg,1540,3335,102
17,Kimberly,1139,3430,144
18,Keith,1654,3423,34
19,Justin,1077,1703,60
20,Leslie,1436,2846,118
21,Jason,1511,90,106
22,Keith,1887,4693,142
23,Jessica,980,2736,109
24,Scott,1533,494,87
25,Stephanie,1646,1162,123
26,Andrea,1924,3033,61
27,Edward,1830,4825,13
28,Rebecca,2005,1934,49
29,Kristina,802,4969,99
30,Kathleen,768,3702,65
31,Ralph,1927,1088,63
32,Kimberly,815,1781,24
33,Alexander,1003,3846,8
34,Jennifer,1007,2063,90
35,Timothy,1737,2207,80
36,Joseph,877,1569,16
37,Jason,1899,2907,46
38,Heather,814,2038,15
39,Brandon,1759,2596,90
40,Gail,1364,4013,49
41,Timothy,1472,3927,112
42,Robert,854,3020,45
43,Lori,882,3660,92
44,Sara,1847,3763,144
45,Cameron,1213,2387,114
46,James,855,1824,38
47,Daniel,1577,1613,17
48,Elizabeth,1358,2801,139
49,Jeremiah,1074,2013,51
50,Jessica,1997,3397,108
51,Philip,918,886,83
52,Mary,1003,1742,114
53,Michael,1783,2501,17
54,Michelle,784,4951,132
55,Annette,966,4428,31
56,Samantha,1277,1375,105
57,Edward,1824,762,138
58,Mary,881,1253,90
59,Lisa,1569,4272,95
60,Timothy,766,4553,48
61,John,1231,605,131
62,Katie,2018,3770,117
63,Jacob,1847,980,73
64,Charles,1741,3900,71
65,Rebecca,1294,2255,1
66,Erika,2004,2643,16
67,Jacob,1804,1005,42
68,Colleen,1666,4305,27
69,James,1300,132,4
70,Steven,1293,4898,96
71,Carl,1085,590,109
72,Kevin,1025,2850,109
73,Kathryn,1209,3329,30
74,Carla,1119,4385,91
75,Garrett,1685,3530,44
76,John,1566,3662,95
77,John,1279,2236,32
78,Ashley,1961,204,51
79,Stephen,1956,3798,143
80,Karen,1451,2333,35
81,Frederick,868,1752,76
82,Jessica,1693,2965,112
83,Alyssa,1257,1038,23
84,Gregory,847,4876,79
85,Brian,1743,3494,90
86,Jeffrey,1837,2686,144
87,Raymond,900,4915,62
88,Ashley,1844,3025,29
89,Gabriela,969,2678,5
90,Ivan,989,4789,12
91,Philip,1412,705,116
92,Kevin,1345,1374,115
93,Crystal,1243,1591,98
94,Patricia,1128,523,18
95,Krystal,1474,2123,1
96,Debbie,1825,57,125
97,Sarah,929,995,116
98,Richard,1973,3272,27
99,Jennifer,1570,1668,6
100,Thomas,1659,1639,140
101,Danielle,1330,844,77
102,Maria,1833,852,124
103,Carol,1425,4093,109
104,Alyssa,1241,2398,113
105,Kimberly,1399,2334,35
106,Anthony,1835,4080,143
107,Michael,1860,97,74
108,Samantha,976,3147,23
109,Amanda,1433,2015,80
110,Susan,1951,3413,126
111,April,1214,1331,33
112,Matthew,1257,3032,90
113,Steven,925,4634,65
114,Gary,983,4485,8
115,Patricia,1640,3836,39
116,Gloria,829,1864,77
117,Marisa,1574,4156,113
118,Robert,1525,3727,82
119,Vickie,1638,2085,51
120,Tamara,1235,45,5
121,Lori,804,4145,133
122,James,1668,2435,3
123,Joseph,1511,4006,92
124,Dwayne,1416,2082,78
125,Marissa,1304,1517,84
126,Lisa,1035,4000,64
127,Mary,1948,1595,100
128,Steven,1192,4945,124
129,Kathryn,1353,465,90
130,Keith,1156,650,32
131,Travis,1183,2757,7
132,Diamond,1765,4307,136
133,Eric,1363,1672,58
134,Robert,943,4693,28
135,Robert,1398,2065,134
136,Melissa,1785,1518,44
137,Deborah,1641,2587,102
138,Michael,1353,929,71
139,Thomas,1332,4495,59
140,Bruce,1785,4903,91
141,Michael,1750,2250,142
142,Michael,1669,1184,71
143,Kelly,1299,2207,86
144,Jeffery,871,2759,98
145,Kimberly,1713,3421,89
146,David,1798,208,32
147,Shawn,1758,1242,132
148,Caitlin,1020,1982,103
149,Jessica,1684,3837,132
150,Amber,1029,3052,43
151,Jonathan,1626,4156,83
152,Matthew,1862,1143,110
153,Rebecca,1804,2496,97
154,Joanna,1165,414,45
155,Cody,1489,3149,116
156,Susan,1723,3108,115
157,Anthony,772,1554,62
158,Kristine,767,958,36
159,Loretta,1876,325,134
160,Megan,1256,3402,65
161,Ana,1981,305,49
162,Sarah,1242,2508,70
163,Alexis,996,404,12
164,Michael,827,3920,114
165,Philip,1020,4377,66
166,Evan,1902,2603,62
167,Lori,1755,4838,139
168,Mark,1064,4288,120
169,Pamela,1215,4279,131
170,Rita,970,741,33
171,Diane,1943,4105,42
172,Yvonne,1096,1375,31
173,James,1148,4823,44
174,Alex,1687,4513,131
175,Joseph,1077,4178,143
176,Richard,1983,926,93
177,Maria,767,1492,131
178,Hannah,1990,312,43
179,Tiffany,1774,680,113
180,Tammy,1027,3154,19
181,Monica,1603,4173,138
182,Jennifer,768,2164,28
183,Charlotte,1522,1964,115
184,Robert,1309,2022,83
185,Ashley,1465,3706,29
186,Samuel,1257,1693,24
187,Rachel,968,2250,37
188,Joyce,1250,1188,44
189,Tamara,1463,659,22
190,Jillian,1192,157,92
191,Amanda,1176,4305,26
192,Daniel,2013,3267,127
193,Madison,1896,4083,19
194,Roger,1661,3488,125
195,Stephanie,985,3702,16
196,Jennifer,1401,3499,100
197,Micheal,1182,723,50
198,Diane,1291,212,65
199,Kevin,1742,104,132
200,John,933,4272,41
201,Karen,1262,4299,113
202,Cynthia,1141,1281,142
203,Mary,969,3939,132
204,Willie,966,1058,25
205,Erin,1101,3151,60
206,John,1750,4783,92
207,Amanda,1524,3338,94
208,Richard,1506,517,33
209,John,1912,148,83
210,Patricia,895,3517,35
211,Donald,1272,3437,15
212,Kelsey,1608,1692,17
213,Amanda,968,3591,66
214,Kristin,1112,1973,8
215,Robert,1149,2367,75
216,Tyler,2018,2434,98
217,Jennifer,1609,2909,31
218,Cody,1043,3545,102
219,Sara,868,4372,144
220,Henry,1370,4215,80
221,Joseph,2003,457,66
222,Christopher,1309,3881,44
223,Patricia,1130,1873,23
224,Christopher,1437,695,47
225,Grant,1720,1286,134
226,Deborah,1464,1728,26
227,John,1827,1166,119
228,Sarah,969,4531,125
229,Michael,1257,272,92
230,Mark,805,2078,9
231,Amanda,1992,795,27
232,Terri,1998,4503,37
233,Peggy,982,4053,73
234,Rebekah,1518,3934,5
235,Matthew,1328,2142,130
